pair,Player1,Player2,ice_time,goals_for,goals_against,shots_for,goals_for_per_60,goals_against_per_60,shots_for_per_60,lambda_for,lambda_against,prob_goal_for_1200,prob_goal_against_1200,PlayerA,PlayerB
Joel Kiviranta & Vladislav Namestnikov,Joel Kiviranta,Vladislav Namestnikov,1595,0,0,18,0,0,40.6269592476489,0,0,0,0,Joel Kiviranta,Vladislav Namestnikov
Esa Lindell & Fredrik Karlstrom,Esa Lindell,Fredrik Karlstrom,247,0,0,1,0,0,14.574898785425102,0,0,0,0,Esa Lindell,Fredrik Karlstrom
Fredrik Karlstrom & Jacob Peterson,Fredrik Karlstrom,Jacob Peterson,389,0,0,2,0,0,18.50899742930591,0,0,0,0,Fredrik Karlstrom,Jacob Peterson
Fredrik Karlstrom & Joe Pavelski,Fredrik Karlstrom,Joe Pavelski,77,0,0,0,0,0,0,0,0,0,0,Fredrik Karlstrom,Joe Pavelski
Fredrik Karlstrom & John Klingberg,Fredrik Karlstrom,John Klingberg,281,0,0,0,0,0,0,0,0,0,0,Fredrik Karlstrom,John Klingberg
Fredrik Karlstrom & Luke Glendening,Fredrik Karlstrom,Luke Glendening,317,1,0,2,11.35646687697161,0,22.71293375394322,3.7854889589905363,0,0.977302238211703,0,Fredrik Karlstrom,Luke Glendening
Fredrik Karlstrom & Miro Heiskanen,Fredrik Karlstrom,Miro Heiskanen,488,0,0,2,0,0,14.754098360655739,0,0,0,0,Fredrik Karlstrom,Miro Heiskanen
Fredrik Karlstrom & Ryan Suter,Fredrik Karlstrom,Ryan Suter,525,0,0,2,0,0,13.714285714285714,0,0,0,0,Fredrik Karlstrom,Ryan Suter
Fredrik Karlstrom & Radek Faksa,Fredrik Karlstrom,Radek Faksa,133,0,0,0,0,0,0,0,0,0,0,Fredrik Karlstrom,Radek Faksa
Fredrik Karlstrom & Jamie Benn,Fredrik Karlstrom,Jamie Benn,141,0,0,0,0,0,0,0,0,0,0,Fredrik Karlstrom,Jamie Benn
Fredrik Karlstrom & Tyler Seguin,Fredrik Karlstrom,Tyler Seguin,82,0,0,0,0,0,0,0,0,0,0,Fredrik Karlstrom,Tyler Seguin
Fredrik Karlstrom & Jani Hakanpaa,Fredrik Karlstrom,Jani Hakanpaa,359,0,0,2,0,0,20.055710306406684,0,0,0,0,Fredrik Karlstrom,Jani Hakanpaa
Fredrik Karlstrom & Thomas Harley,Fredrik Karlstrom,Thomas Harley,340,0,0,1,0,0,10.588235294117647,0,0,0,0,Fredrik Karlstrom,Thomas Harley
Fredrik Karlstrom & Marian Studenic,Fredrik Karlstrom,Marian Studenic,34,0,0,0,0,0,0,0,0,0,0,Fredrik Karlstrom,Marian Studenic
Fredrik Karlstrom & Joel Kiviranta,Fredrik Karlstrom,Joel Kiviranta,301,0,0,1,0,0,11.960132890365449,0,0,0,0,Fredrik Karlstrom,Joel Kiviranta
Fredrik Karlstrom & Roope Hintz,Fredrik Karlstrom,Roope Hintz,33,0,0,0,0,0,0,0,0,0,0,Fredrik Karlstrom,Roope Hintz
Fredrik Karlstrom & Vladislav Namestnikov,Fredrik Karlstrom,Vladislav Namestnikov,413,1,0,2,8.716707021791768,0,17.433414043583536,2.9055690072639226,0,0.9452823529967459,0,Fredrik Karlstrom,Vladislav Namestnikov
Denis Gurianov & Fredrik Karlstrom,Denis Gurianov,Fredrik Karlstrom,290,0,0,1,0,0,12.413793103448276,0,0,0,0,Denis Gurianov,Fredrik Karlstrom
Fredrik Karlstrom & Michael Raffl,Fredrik Karlstrom,Michael Raffl,18,0,0,0,0,0,0,0,0,0,0,Fredrik Karlstrom,Michael Raffl
Joel Kiviranta & Ty Dellandrea,Joel Kiviranta,Ty Dellandrea,355,0,0,2,0,0,20.281690140845072,0,0,0,0,Joel Kiviranta,Ty Dellandrea
Joe Pavelski & Ty Dellandrea,Joe Pavelski,Ty Dellandrea,189,0,0,2,0,0,38.095238095238095,0,0,0,0,Joe Pavelski,Ty Dellandrea
Joel Hanley & Ty Dellandrea,Joel Hanley,Ty Dellandrea,242,0,0,1,0,0,14.87603305785124,0,0,0,0,Joel Hanley,Ty Dellandrea
Marian Studenic & Ty Dellandrea,Marian Studenic,Ty Dellandrea,132,0,0,0,0,0,0,0,0,0,0,Marian Studenic,Ty Dellandrea
Denis Gurianov & Ty Dellandrea,Denis Gurianov,Ty Dellandrea,157,0,0,1,0,0,22.929936305732486,0,0,0,0,Denis Gurianov,Ty Dellandrea
Ty Dellandrea & Vladislav Namestnikov,Ty Dellandrea,Vladislav Namestnikov,128,0,0,1,0,0,28.125,0,0,0,0,Ty Dellandrea,Vladislav Namestnikov
